task_id,mission_id,source_mission_id,goal_level,mission_split,split_index,target_zone,furnace_condition,pipeline_condition,conduit_condition,archive_condition,basin_condition,template_id,gold_action_sequence,t9_split
EFGHI,L3-0001,efghi_sequence_0062,3,train,16,archive,bad_quality,ideal,ideal,bad_quality,bad_quality,L3_ARC_BBB,"R[R[DRAIN, R[FLOW, IGNITE, SMELT, TEMPER], CYCLE], CATALOG]",
EFGHI,L3-0040,efghi_sequence_0039,3,train,17,pipeline,ideal,low_resource,low_resource,low_resource,ideal,L3_PIP_LLL,"C[PUMP, C[ROUTE, INSULATE, C[FLUID, CATALOG], SEAL], PRESSURIZE]",
EFGHI,L3-0025,efghi_sequence_0038,3,train,18,furnace,bad_quality,bad_quality,bad_quality,ideal,ideal,L3_FUR_BBB,"R[R[PUMP, R[ROUTE, INSULATE, DATA, SEAL], PRESSURIZE], IGNITE, SMELT, TEMPER]",
EFGHI,L3-0027,efghi_sequence_0036,3,train,19,furnace,bad_quality,low_resource,bad_quality,ideal,ideal,L3_FUR_BLB,"R[C[PUMP, R[ROUTE, INSULATE, DATA, SEAL], PRESSURIZE], IGNITE, SMELT, TEMPER]",probe
EFGHI,L3-0028,efghi_sequence_0035,3,train,20,furnace,bad_quality,low_resource,low_resource,ideal,ideal,L3_FUR_BLL,"R[C[PUMP, C[ROUTE, INSULATE, DATA, SEAL], PRESSURIZE], IGNITE, SMELT, TEMPER]",
EFGHI,L3-0036,efghi_sequence_0043,3,train,21,pipeline,ideal,bad_quality,low_resource,low_resource,ideal,L3_PIP_BLL,"R[PUMP, C[ROUTE, INSULATE, C[FLUID, CATALOG], SEAL], PRESSURIZE]",
EFGHI,L3-0008,efghi_sequence_0055,3,train,22,archive,low_resource,ideal,ideal,low_resource,low_resource,L3_ARC_LLL,"C[C[DRAIN, C[FLOW, IGNITE, SMELT, TEMPER], CYCLE], CATALOG]",
EFGHI,L3-0013,efghi_sequence_0066,3,train,23,basin,bad_quality,bad_quality,ideal,ideal,low_resource,L3_BAS_LBB,"C[DRAIN, R[R[PUMP, WIRE, PRESSURIZE], IGNITE, SMELT, TEMPER], CYCLE]",
EFGHI,L3-0026,efghi_sequence_0037,3,train,24,furnace,bad_quality,bad_quality,low_resource,ideal,ideal,L3_FUR_BBL,"R[R[PUMP, C[ROUTE, INSULATE, DATA, SEAL], PRESSURIZE], IGNITE, SMELT, TEMPER]",
EFGHI,L3-0023,efghi_sequence_0048,3,train,25,conduit,ideal,ideal,low_resource,low_resource,bad_quality,L3_CON_LLB,"C[ROUTE, INSULATE, C[R[DRAIN, HEAT, CYCLE], CATALOG], SEAL]",
EFGHI,L3-0019,efghi_sequence_0052,3,train,26,conduit,ideal,ideal,bad_quality,low_resource,bad_quality,L3_CON_BLB,"R[ROUTE, INSULATE, C[R[DRAIN, HEAT, CYCLE], CATALOG], SEAL]",
EFGHI,L3-0003,efghi_sequence_0060,3,train,27,archive,bad_quality,ideal,ideal,bad_quality,low_resource,L3_ARC_BLB,"R[C[DRAIN, R[FLOW, IGNITE, SMELT, TEMPER], CYCLE], CATALOG]",
EFGHI,L3-0021,efghi_sequence_0050,3,train,28,conduit,ideal,ideal,low_resource,bad_quality,bad_quality,L3_CON_LBB,"C[ROUTE, INSULATE, R[R[DRAIN, HEAT, CYCLE], CATALOG], SEAL]",
EFGHI,L3-0033,efghi_sequence_0046,3,test,1,pipeline,ideal,bad_quality,bad_quality,bad_quality,ideal,L3_PIP_BBB,"R[PUMP, R[ROUTE, INSULATE, R[FLUID, CATALOG], SEAL], PRESSURIZE]",
EFGHI,L3-0031,efghi_sequence_0032,3,test,2,furnace,low_resource,low_resource,bad_quality,ideal,ideal,L3_FUR_LLB,"C[C[PUMP, R[ROUTE, INSULATE, DATA, SEAL], PRESSURIZE], IGNITE, SMELT, TEMPER]",
EFGHI,L3-0004,efghi_sequence_0059,3,test,3,archive,low_resource,ideal,ideal,bad_quality,low_resource,L3_ARC_BLL,"R[C[DRAIN, C[FLOW, IGNITE, SMELT, TEMPER], CYCLE], CATALOG]",probe
EFGHI,L3-0039,efghi_sequence_0040,3,test,4,pipeline,ideal,low_resource,low_resource,bad_quality,ideal,L3_PIP_LLB,"C[PUMP, C[ROUTE, INSULATE, R[FLUID, CATALOG], SEAL], PRESSURIZE]",
EFGHI,L3-0022,efghi_sequence_0049,3,test,5,conduit,ideal,ideal,low_resource,bad_quality,low_resource,L3_CON_LBL,"C[ROUTE, INSULATE, R[C[DRAIN, HEAT, CYCLE], CATALOG], SEAL]",
EFGHI,L3-0035,efghi_sequence_0044,3,test,6,pipeline,ideal,bad_quality,low_resource,bad_quality,ideal,L3_PIP_BLB,"R[PUMP, C[ROUTE, INSULATE, R[FLUID, CATALOG], SEAL], PRESSURIZE]",
EFGHI,L3-0007,efghi_sequence_0056,3,test,7,archive,bad_quality,ideal,ideal,low_resource,low_resource,L3_ARC_LLB,"C[C[DRAIN, R[FLOW, IGNITE, SMELT, TEMPER], CYCLE], CATALOG]",
EFGHI,L3-0002,efghi_sequence_0061,3,test,8,archive,low_resource,ideal,ideal,bad_quality,bad_quality,L3_ARC_BBL,"R[R[DRAIN, C[FLOW, IGNITE, SMELT, TEMPER], CYCLE], CATALOG]",
EFGHI,L3-0024,efghi_sequence_0047,3,test,9,conduit,ideal,ideal,low_resource,low_resource,low_resource,L3_CON_LLL,"C[ROUTE, INSULATE, C[C[DRAIN, HEAT, CYCLE], CATALOG], SEAL]",probe
EFGHI,L3-0037,efghi_sequence_0042,3,test,10,pipeline,ideal,low_resource,bad_quality,bad_quality,ideal,L3_PIP_LBB,"C[PUMP, R[ROUTE, INSULATE, R[FLUID, CATALOG], SEAL], PRESSURIZE]",
EFGHI,L3-0010,efghi_sequence_0069,3,test,11,basin,bad_quality,low_resource,ideal,ideal,bad_quality,L3_BAS_BBL,"R[DRAIN, R[C[PUMP, WIRE, PRESSURIZE], IGNITE, SMELT, TEMPER], CYCLE]",
EFGHI,L3-0016,efghi_sequence_0063,3,test,12,basin,low_resource,low_resource,ideal,ideal,low_resource,L3_BAS_LLL,"C[DRAIN, C[C[PUMP, WIRE, PRESSURIZE], IGNITE, SMELT, TEMPER], CYCLE]",
EFGHI,L4-0015,efghi_sequence_0120,4,train,1,archive,low_resource,bad_quality,ideal,low_resource,low_resource,L4_ARC_LLLB,"C[C[DRAIN, C[R[PUMP, WIRE, PRESSURIZE], IGNITE, SMELT, TEMPER], CYCLE], CATALOG]",
EFGHI,L4-0020,efghi_sequence_0147,4,train,2,basin,bad_quality,low_resource,low_resource,ideal,bad_quality,L4_BAS_BBLL,"R[DRAIN, R[C[PUMP, C[ROUTE, INSULATE, DATA, SEAL], PRESSURIZE], IGNITE, SMELT, TEMPER], CYCLE]",
EFGHI,L4-0053,efghi_sequence_0082,4,train,3,furnace,bad_quality,low_resource,bad_quality,bad_quality,ideal,L4_FUR_BLBB,"R[C[PUMP, R[ROUTE, INSULATE, R[FLUID, CATALOG], SEAL], PRESSURIZE], IGNITE, SMELT, TEMPER]",
EFGHI,L4-0021,efghi_sequence_0146,4,train,4,basin,low_resource,bad_quality,bad_quality,ideal,bad_quality,L4_BAS_BLBB,"R[DRAIN, C[R[PUMP, R[ROUTE, INSULATE, DATA, SEAL], PRESSURIZE], IGNITE, SMELT, TEMPER], CYCLE]",
EFGHI,L4-0061,efghi_sequence_0074,4,train,5,furnace,low_resource,low_resource,bad_quality,bad_quality,ideal,L4_FUR_LLBB,"C[C[PUMP, R[ROUTE, INSULATE, R[FLUID, CATALOG], SEAL], PRESSURIZE], IGNITE, SMELT, TEMPER]",
EFGHI,L4-0026,efghi_sequence_0141,4,train,6,basin,bad_quality,bad_quality,low_resource,ideal,low_resource,L4_BAS_LBBL,"C[DRAIN, R[R[PUMP, C[ROUTE, INSULATE, DATA, SEAL], PRESSURIZE], IGNITE, SMELT, TEMPER], CYCLE]",probe
EFGHI,L4-0074,efghi_sequence_0093,4,train,7,pipeline,ideal,low_resource,bad_quality,bad_quality,low_resource,L4_PIP_LBBL,"C[PUMP, R[ROUTE, INSULATE, R[C[DRAIN, HEAT, CYCLE], CATALOG], SEAL], PRESSURIZE]",
EFGHI,L4-0046,efghi_sequence_0105,4,train,8,conduit,low_resource,ideal,low_resource,low_resource,bad_quality,L4_CON_LLBL,"C[ROUTE, INSULATE, C[R[DRAIN, C[FLOW, IGNITE, SMELT, TEMPER], CYCLE], CATALOG], SEAL]",probe
EFGHI,L4-0059,efghi_sequence_0076,4,train,9,furnace,low_resource,bad_quality,low_resource,bad_quality,ideal,L4_FUR_LBLB,"C[R[PUMP, C[ROUTE, INSULATE, R[FLUID, CATALOG], SEAL], PRESSURIZE], IGNITE, SMELT, TEMPER]",
EFGHI,L4-0005,efghi_sequence_0130,4,train,10,archive,bad_quality,bad_quality,ideal,bad_quality,low_resource,L4_ARC_BLBB,"R[C[DRAIN, R[R[PUMP, WIRE, PRESSURIZE], IGNITE, SMELT, TEMPER], CYCLE], CATALOG]",
EFGHI,L4-0011,efghi_sequence_0124,4,train,11,archive,low_resource,bad_quality,ideal,low_resource,bad_quality,L4_ARC_LBLB,"C[R[DRAIN, C[R[PUMP, WIRE, PRESSURIZE], IGNITE, SMELT, TEMPER], CYCLE], CATALOG]",
EFGHI,L4-0068,efghi_sequence_0099,4,train,12,pipeline,ideal,bad_quality,bad_quality,low_resource,low_resource,L4_PIP_BBLL,"R[PUMP, R[ROUTE, INSULATE, C[C[DRAIN, HEAT, CYCLE], CATALOG], SEAL], PRESSURIZE]",
EFGHI,L4-0013,efghi_sequence_0122,4,train,13,archive,bad_quality,bad_quality,ideal,low_resource,low_resource,L4_ARC_LLBB,"C[C[DRAIN, R[R[PUMP, WIRE, PRESSURIZE], IGNITE, SMELT, TEMPER], CYCLE], CATALOG]",
EFGHI,L4-0032,efghi_sequence_0135,4,train,14,basin,low_resource,low_resource,low_resource,ideal,low_resource,L4_BAS_LLLL,"C[DRAIN, C[C[PUMP, C[ROUTE, INSULATE, DATA, SEAL], PRESSURIZE], IGNITE, SMELT, TEMPER], CYCLE]",
EFGHI,L4-0010,efghi_sequence_0125,4,train,15,archive,bad_quality,low_resource,ideal,low_resource,bad_quality,L4_ARC_LBBL,"C[R[DRAIN, R[C[PUMP, WIRE, PRESSURIZE], IGNITE, SMELT, TEMPER], CYCLE], CATALOG]",
EFGHI,L4-0031,efghi_sequence_0136,4,train,16,basin,low_resource,low_resource,bad_quality,ideal,low_resource,L4_BAS_LLLB,"C[DRAIN, C[C[PUMP, R[ROUTE, INSULATE, DATA, SEAL], PRESSURIZE], IGNITE, SMELT, TEMPER], CYCLE]",
EFGHI,L4-0018,efghi_sequence_0149,4,train,17,basin,bad_quality,bad_quality,low_resource,ideal,bad_quality,L4_BAS_BBBL,"R[DRAIN, R[R[PUMP, C[ROUTE, INSULATE, DATA, SEAL], PRESSURIZE], IGNITE, SMELT, TEMPER], CYCLE]",
EFGHI,L4-0036,efghi_sequence_0115,4,train,18,conduit,low_resource,ideal,bad_quality,bad_quality,low_resource,L4_CON_BBLL,"R[ROUTE, INSULATE, R[C[DRAIN, C[FLOW, IGNITE, SMELT, TEMPER], CYCLE], CATALOG], SEAL]",
EFGHI,L4-0050,efghi_sequence_0085,4,train,19,furnace,bad_quality,bad_quality,bad_quality,low_resource,ideal,L4_FUR_BBBL,"R[R[PUMP, R[ROUTE, INSULATE, C[FLUID, CATALOG], SEAL], PRESSURIZE], IGNITE, SMELT, TEMPER]",
EFGHI,L4-0042,efghi_sequence_0109,4,train,20,conduit,low_resource,ideal,low_resource,bad_quality,bad_quality,L4_CON_LBBL,"C[ROUTE, INSULATE, R[R[DRAIN, C[FLOW, IGNITE, SMELT, TEMPER], CYCLE], CATALOG], SEAL]",
EFGHI,L4-0047,efghi_sequence_0104,4,train,21,conduit,bad_quality,ideal,low_resource,low_resource,low_resource,L4_CON_LLLB,"C[ROUTE, INSULATE, C[C[DRAIN, R[FLOW, IGNITE, SMELT, TEMPER], CYCLE], CATALOG], SEAL]",
EFGHI,L4-0080,efghi_sequence_0087,4,train,22,pipeline,ideal,low_resource,low_resource,low_resource,low_resource,L4_PIP_LLLL,"C[PUMP, C[ROUTE, INSULATE, C[C[DRAIN, HEAT, CYCLE], CATALOG], SEAL], PRESSURIZE]",probe
EFGHI,L4-0034,efghi_sequence_0117,4,train,23,conduit,low_resource,ideal,bad_quality,bad_quality,bad_quality,L4_CON_BBBL,"R[ROUTE, INSULATE, R[R[DRAIN, C[FLOW, IGNITE, SMELT, TEMPER], CYCLE], CATALOG], SEAL]",
EFGHI,L4-0024,efghi_sequence_0143,4,train,24,basin,low_resource,low_resource,low_resource,ideal,bad_quality,L4_BAS_BLLL,"R[DRAIN, C[C[PUMP, C[ROUTE, INSULATE, DATA, SEAL], PRESSURIZE], IGNITE, SMELT, TEMPER], CYCLE]",
EFGHI,L4-0073,efghi_sequence_0094,4,train,25,pipeline,ideal,low_resource,bad_quality,bad_quality,bad_quality,L4_PIP_LBBB,"C[PUMP, R[ROUTE, INSULATE, R[R[DRAIN, HEAT, CYCLE], CATALOG], SEAL], PRESSURIZE]",
EFGHI,L4-0056,efghi_sequence_0079,4,train,26,furnace,bad_quality,low_resource,low_resource,low_resource,ideal,L4_FUR_BLLL,"R[C[PUMP, C[ROUTE, INSULATE, C[FLUID, CATALOG], SEAL], PRESSURIZE], IGNITE, SMELT, TEMPER]",
EFGHI,L4-0078,efghi_sequence_0089,4,train,27,pipeline,ideal,low_resource,low_resource,bad_quality,low_resource,L4_PIP_LLBL,"C[PUMP, C[ROUTE, INSULATE, R[C[DRAIN, HEAT, CYCLE], CATALOG], SEAL], PRESSURIZE]",
EFGHI,L4-0028,efghi_sequence_0139,4,train,28,basin,bad_quality,low_resource,low_resource,ideal,low_resource,L4_BAS_LBLL,"C[DRAIN, R[C[PUMP, C[ROUTE, INSULATE, DATA, SEAL], PRESSURIZE], IGNITE, SMELT, TEMPER], CYCLE]",probe
EFGHI,L4-0065,efghi_sequence_0102,4,train,29,pipeline,ideal,bad_quality,bad_quality,bad_quality,bad_quality,L4_PIP_BBBB,"R[PUMP, R[ROUTE, INSULATE, R[R[DRAIN, HEAT, CYCLE], CATALOG], SEAL], PRESSURIZE]",
EFGHI,L4-0008,efghi_sequence_0127,4,train,30,archive,low_resource,low_resource,ideal,bad_quality,low_resource,L4_ARC_BLLL,"R[C[DRAIN, C[C[PUMP, WIRE, PRESSURIZE], IGNITE, SMELT, TEMPER], CYCLE], CATALOG]",
EFGHI,L4-0062,efghi_sequence_0073,4,train,31,furnace,low_resource,low_resource,bad_quality,low_resource,ideal,L4_FUR_LLBL,"C[C[PUMP, R[ROUTE, INSULATE, C[FLUID, CATALOG], SEAL], PRESSURIZE], IGNITE, SMELT, TEMPER]",
EFGHI,L4-0051,efghi_sequence_0084,4,train,32,furnace,bad_quality,bad_quality,low_resource,bad_quality,ideal,L4_FUR_BBLB,"R[R[PUMP, C[ROUTE, INSULATE, R[FLUID, CATALOG], SEAL], PRESSURIZE], IGNITE, SMELT, TEMPER]",
EFGHI,L4-0071,efghi_sequence_0096,4,train,33,pipeline,ideal,bad_quality,low_resource,low_resource,bad_quality,L4_PIP_BLLB,"R[PUMP, C[ROUTE, INSULATE, C[R[DRAIN, HEAT, CYCLE], CATALOG], SEAL], PRESSURIZE]",
EFGHI,L4-0044,efghi_sequence_0107,4,train,34,conduit,low_resource,ideal,low_resource,bad_quality,low_resource,L4_CON_LBLL,"C[ROUTE, INSULATE, R[C[DRAIN, C[FLOW, IGNITE, SMELT, TEMPER], CYCLE], CATALOG], SEAL]",
EFGHI,L4-0016,efghi_sequence_0119,4,train,35,archive,low_resource,low_resource,ideal,low_resource,low_resource,L4_ARC_LLLL,"C[C[DRAIN, C[C[PUMP, WIRE, PRESSURIZE], IGNITE, SMELT, TEMPER], CYCLE], CATALOG]",
EFGHI,L4-0027,efghi_sequence_0140,4,train,36,basin,bad_quality,low_resource,bad_quality,ideal,low_resource,L4_BAS_LBLB,"C[DRAIN, R[C[PUMP, R[ROUTE, INSULATE, DATA, SEAL], PRESSURIZE], IGNITE, SMELT, TEMPER], CYCLE]",
EFGHI,L4-0072,efghi_sequence_0095,4,train,37,pipeline,ideal,bad_quality,low_resource,low_resource,low_resource,L4_PIP_BLLL,"R[PUMP, C[ROUTE, INSULATE, C[C[DRAIN, HEAT, CYCLE], CATALOG], SEAL], PRESSURIZE]",probe
EFGHI,L4-0069,efghi_sequence_0098,4,train,38,pipeline,ideal,bad_quality,low_resource,bad_quality,bad_quality,L4_PIP_BLBB,"R[PUMP, C[ROUTE, INSULATE, R[R[DRAIN, HEAT, CYCLE], CATALOG], SEAL], PRESSURIZE]",
EFGHI,L4-0014,efghi_sequence_0121,4,train,39,archive,bad_quality,low_resource,ideal,low_resource,low_resource,L4_ARC_LLBL,"C[C[DRAIN, R[C[PUMP, WIRE, PRESSURIZE], IGNITE, SMELT, TEMPER], CYCLE], CATALOG]",probe
EFGHI,L4-0012,efghi_sequence_0123,4,train,40,archive,low_resource,low_resource,ideal,low_resource,bad_quality,L4_ARC_LBLL,"C[R[DRAIN, C[C[PUMP, WIRE, PRESSURIZE], IGNITE, SMELT, TEMPER], CYCLE], CATALOG]",
EFGHI,L4-0045,efghi_sequence_0106,4,train,41,conduit,bad_quality,ideal,low_resource,low_resource,bad_quality,L4_CON_LLBB,"C[ROUTE, INSULATE, C[R[DRAIN, R[FLOW, IGNITE, SMELT, TEMPER], CYCLE], CATALOG], SEAL]",
EFGHI,L4-0063,efghi_sequence_0072,4,train,42,furnace,low_resource,low_resource,low_resource,bad_quality,ideal,L4_FUR_LLLB,"C[C[PUMP, C[ROUTE, INSULATE, R[FLUID, CATALOG], SEAL], PRESSURIZE], IGNITE, SMELT, TEMPER]",
